,Title,published_date,Views,Likes,comments,Published_date,Comments,Month
156,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05T15:00:09Z,14523,603,89,2020-08-05,89,Aug
157,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03T15:00:08Z,4942,186,56,2020-08-03,56,Aug
158,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31T14:30:01Z,11541,582,90,2020-07-31,90,Jul
159,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30T01:00:10Z,2337,116,34,2020-07-30,34,Jul
160,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27T15:00:30Z,5747,251,112,2020-07-27,112,Jul
161,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24T15:00:11Z,8292,246,199,2020-07-24,199,Jul
162,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22T15:00:05Z,1878,97,27,2020-07-22,27,Jul
163,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20T15:00:08Z,29370,563,90,2020-07-20,90,Jul
164,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17T16:00:05Z,358976,7773,439,2020-07-17,439,Jul
165,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16T02:00:09Z,30510,1126,121,2020-07-16,121,Jul
166,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13T16:00:01Z,3663,133,50,2020-07-13,50,Jul
167,The Best Computer for Data Science Beginners,2020-07-10T16:00:09Z,39343,863,158,2020-07-10,158,Jul
168,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08T21:00:09Z,6179,231,82,2020-07-08,82,Jul
169,Critiquing MY OWN Data Science Resume,2020-07-06T16:00:30Z,12787,399,88,2020-07-06,88,Jul
170,Where to Start Learning Data Science,2020-07-03T16:00:04Z,19075,780,125,2020-07-03,125,Jul
171,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01T15:00:12Z,4222,197,35,2020-07-01,35,Jul
172,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29T15:00:08Z,4636,176,52,2020-06-29,52,Jun
173,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26T15:00:10Z,16747,552,79,2020-06-26,79,Jun
174,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22T13:00:03Z,2435,82,40,2020-06-22,40,Jun
175,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20T02:09:18Z,2389,139,49,2020-06-20,49,Jun
176,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15T13:00:12Z,4416,168,46,2020-06-15,46,Jun
177,Why You're Struggling to Learn Data Science,2020-06-12T13:00:17Z,15328,1008,159,2020-06-12,159,Jun
178,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08T13:00:21Z,12155,363,70,2020-06-08,70,Jun
179,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05T13:00:26Z,24310,691,146,2020-06-05,146,Jun
